species	external_id	current_symbol	prev_or_alias
zebrafish	ZDB-GENE-000823-7	hoxb6b	hoxb6b
zebrafish	NCBI_Gene:58053	hoxb6b	hoxb6b
zebrafish	ZDB-GENE-000823-8	hoxa11a	hoxa11a
zebrafish	NCBI_Gene:58061	hoxa11a	hoxa11a
zebrafish	ZDB-GENE-000823-9	hoxa5a	hoxa5a
zebrafish	NCBI_Gene:58055	hoxa5a	hoxa5a
zebrafish	ZDB-GENE-000828-1	scn8aa	scn8aa
zebrafish	NCBI_Gene:58152	scn8aa	scn8aa
zebrafish	ZDB-GENE-000830-1	nkx2.4b	nkx2.4b
zebrafish	NCBI_Gene:58112	nkx2.4b	nkx2.4b
zebrafish	ZDB-GENE-000831-1	pcxb	pcxb
zebrafish	NCBI_Gene:58068	pcxb	pcxb
zebrafish	ZDB-GENE-000831-2	fth1a	fth1a
zebrafish	NCBI_Gene:58108	fth1a	fth1a
zebrafish	ZDB-GENE-000831-3	slc3a2a	slc3a2a
zebrafish	NCBI_Gene:796322	slc3a2a	slc3a2a
zebrafish	ZDB-GENE-000831-4	dnajc3b	dnajc3b
zebrafish	NCBI_Gene:58154	dnajc3b	dnajc3b
zebrafish	ZDB-GENE-000831-5	cd81a	cd81a
zebrafish	NCBI_Gene:58031	cd81a	cd81a
zebrafish	ZDB-GENE-000831-6	pim2	pim2
zebrafish	NCBI_Gene:58054	pim2	pim2
zebrafish	ZDB-GENE-000901-1	cd74a	cd74a
zebrafish	NCBI_Gene:58113	cd74a	cd74a
zebrafish	ZDB-GENE-000906-1	sptb	sptb
zebrafish	NCBI_Gene:58040	sptb	sptb
zebrafish	ZDB-GENE-000906-2	hspe1	hspe1
zebrafish	NCBI_Gene:58041	hspe1	hspe1
zebrafish	ZDB-GENE-000906-3	ctnnbip1	ctnnbip1
zebrafish	NCBI_Gene:58117	ctnnbip1	ctnnbip1
zebrafish	ZDB-GENE-000906-4	fzd9b	fzd9b
zebrafish	NCBI_Gene:58023	fzd9b	fzd9b
zebrafish	ZDB-GENE-000920-1	edn1	edn1
zebrafish	NCBI_Gene:58032	edn1	edn1
zebrafish	ZDB-GENE-000921-2	pdp2	pdp2
zebrafish	NCBI_Gene:58149	pdp2	pdp2
zebrafish	ZDB-GENE-000926-1	atoh7	atoh7
zebrafish	NCBI_Gene:58216	atoh7	atoh7
zebrafish	ZDB-GENE-000928-1	fech	fech
zebrafish	NCBI_Gene:58215	fech	fech
zebrafish	ZDB-GENE-001006-1	fgf4	fgf4
zebrafish	NCBI_Gene:570435	fgf4	fgf4
zebrafish	ZDB-GENE-001019-1	robo2	robo2
zebrafish	NCBI_Gene:60309	robo2	robo2
zebrafish	ZDB-GENE-001020-1	hmx3a	hmx3a
zebrafish	NCBI_Gene:60310	hmx3a	hmx3a
zebrafish	ZDB-GENE-001030-2	pax5	pax5
zebrafish	NCBI_Gene:60636	pax5	pax5
zebrafish	ZDB-GENE-001030-3	pax8	pax8
zebrafish	NCBI_Gene:60637	pax8	pax8
zebrafish	ZDB-GENE-001030-4	pax2b	pax2b
zebrafish	NCBI_Gene:60638	pax2b	pax2b
zebrafish	ZDB-GENE-001031-1	pax6b	pax6b
zebrafish	NCBI_Gene:60639	pax6b	pax6b
zebrafish	ZDB-GENE-001101-1	nos1	nos1
zebrafish	NCBI_Gene:60658	nos1	nos1
zebrafish	ZDB-GENE-001103-1	sox9a	sox9a
zebrafish	NCBI_Gene:60641	sox9a	sox9a
zebrafish	ZDB-GENE-001103-2	sox9b	sox9b
zebrafish	NCBI_Gene:60642	sox9b	sox9b
zebrafish	ZDB-GENE-001103-3	fezf2	fezf2
zebrafish	NCBI_Gene:60634	fezf2	fezf2
zebrafish	ZDB-GENE-001103-4	cyp19a1b	cyp19a1b
zebrafish	NCBI_Gene:60640	cyp19a1b	cyp19a1b
zebrafish	ZDB-GENE-001103-5	cldn7b	cldn7b
zebrafish	NCBI_Gene:60635	cldn7b	cldn7b
zebrafish	ZDB-GENE-001106-1	wnt3a	wnt3a
zebrafish	NCBI_Gene:60632	wnt3a	wnt3a
zebrafish	ZDB-GENE-001106-11	nitr4a	nitr4a
zebrafish	NCBI_Gene:60652	nitr4a	nitr4a
zebrafish	ZDB-GENE-001106-16	nitr3b	nitr3b
zebrafish	NCBI_Gene:60659	nitr3b	nitr3b
zebrafish	ZDB-GENE-001106-3	nitr1i	nitr1i
zebrafish	NCBI_Gene:60644	nitr1i	nitr1i
zebrafish	ZDB-GENE-001106-4	nitr1c	nitr1c
zebrafish	NCBI_Gene:60645	nitr1c	nitr1c
zebrafish	ZDB-GENE-001106-5	nitr1k	nitr1k
zebrafish	NCBI_Gene:60646	nitr1k	nitr1k
zebrafish	ZDB-GENE-001106-6	nitr2b	nitr2b
zebrafish	NCBI_Gene:60647	nitr2b	nitr2b
zebrafish	ZDB-GENE-001106-8	nitr3a	nitr3a
zebrafish	NCBI_Gene:60649	nitr3a	nitr3a
zebrafish	ZDB-GENE-001120-1	lima1a	lima1a
zebrafish	NCBI_Gene:64000	lima1a	lima1a
zebrafish	ZDB-GENE-001120-2	stard3	stard3
zebrafish	NCBI_Gene:63998	stard3	stard3
